sku,centro,model_first_flag,actual_first_markdown,delta_weeks
HK1123202BWHT095,7501,2024-12-16,2024-12-23,1.0
HK1123202BWHT095,AB75,2024-01-29,2024-01-29,0.0
HK1123202BWHT100,7501,2024-10-21,2024-10-21,0.0
HK1123202BWHT100,AB75,2023-10-30,2023-10-30,0.0
HK1123202BWHT105,7501,2025-03-10,2025-03-10,0.0
HK1123202BWHT105,AB75,2024-07-29,2024-07-29,0.0
HK1123202BWHT110,AB75,2023-11-13,2023-11-13,0.0
HK1123202BWHT115,AB75,2024-03-11,2024-03-11,0.0
HK1123202BWHT120,AB75,2024-08-12,2024-08-12,0.0
HK1123202CRSCL080,AB75,2024-07-15,2024-07-15,0.0
HK1123202CRSCL085,7501,2024-11-04,2024-11-04,0.0
HK1123202CRSCL085,AB75,2024-09-23,2024-09-23,0.0
HK1123202CRSCL090,7501,2024-11-04,2024-11-04,0.0
HK1123202CRSCL090,AB75,2024-09-02,2024-09-02,0.0
HK1123202CRSCL095,7501,2024-11-18,2024-11-18,0.0
HK1123202CRSCL095,AB75,2024-09-02,2024-09-02,0.0
HK1123202CRSCL100,7501,2024-11-18,2024-11-18,0.0
HK1123202CRSCL100,AB75,2024-08-05,2024-08-05,0.0
HK1123202CRSCL105,AB75,2024-07-15,2024-07-15,0.0
HK1123202CRSCL110,AB75,2024-09-16,2024-09-16,0.0
HK1123202CRSCL115,AB75,2024-09-16,2024-09-16,0.0
HK1123202CRSCL120,AB75,2024-09-02,2024-09-02,0.0
HK1123202DLOM080,AB75,2023-11-27,2023-11-27,0.0
HK1123202DLOM085,AB75,2023-12-11,2023-12-11,0.0
HK1123202DLOM090,AB75,2024-03-04,2024-03-04,0.0
HK1123202DLOM095,AB75,2023-11-27,2023-11-27,0.0
HK1123202DLOM100,AB75,2024-02-19,2024-02-19,0.0
HK1123202DLOM105,AB75,2023-12-04,2023-12-04,0.0
HK1123202DLOM110,AB75,2024-03-11,2024-03-11,0.0
HK1123202DLOM120,AB75,2024-01-08,2024-01-08,0.0
HK1123202EQB090,7501,2025-05-05,2025-05-05,0.0
HK1123202EQB090,AB75,2025-09-08,2025-09-08,0.0
HK1123202EQB100,7501,2025-04-21,2025-04-21,0.0
HK1123202EQB100,AB75,2025-02-03,2025-02-03,0.0
HK1123202EQB105,AB75,2025-01-20,2025-01-20,0.0
HK1123202EQB110,7501,2025-02-24,2025-02-24,0.0
HK1123202EQB110,AB75,2025-03-17,2025-03-17,0.0
HK1123202EQB115,AB75,2025-08-11,2025-08-11,0.0
HK1123202EQB120,AB75,2025-03-24,2025-03-24,0.0
HK1123202GBMS085,AB75,2023-08-28,2023-08-28,0.0
HK1123202GBMS090,AB75,2023-09-04,2023-09-04,0.0
HK1123202GBMS095,AB75,2023-09-25,2023-08-21,-5.0
HK1123202GBMS105,AB75,2023-09-04,2023-09-11,1.0
HK1123202GBMS110,AB75,2023-10-02,2023-10-02,0.0
HK1123202GBMS115,AB75,2023-09-04,2023-09-04,0.0
HK1123202LMG080,AB75,2024-12-16,2024-12-16,0.0
HK1123202LMG085,AB75,2024-12-09,2024-12-09,0.0
HK1123202LMG090,7501,2025-06-09,2025-06-09,0.0
HK1123202LMG090,AB75,2024-08-05,2024-08-05,0.0
HK1123202LMG095,7501,2025-05-26,2025-05-26,0.0
HK1123202LMG095,AB75,2024-12-09,2024-12-09,0.0
HK1123202LMG100,7501,2025-06-09,2025-06-09,0.0
HK1123202LMG100,AB75,2024-12-09,2024-12-09,0.0
HK1123202LMG115,AB75,2024-11-25,2024-11-25,0.0
HK1123202LMG120,7501,2025-01-13,2025-01-13,0.0
HK1123202OSAA080,AB75,2023-11-27,2023-11-27,0.0
HK1123202OSAA085,AB75,2023-09-11,2023-09-11,0.0
HK1123202OSAA090,7501,2024-12-02,2024-12-02,0.0
HK1123202OSAA090,AB75,2023-09-04,2023-09-04,0.0
HK1123202OSAA095,7501,2025-01-27,2025-01-27,0.0
HK1123202OSAA095,AB75,2023-10-09,2023-10-09,0.0
